n,d,tiempo_promedio,tiempo_partida
3,4,0.000222,0.014011
3,6,0.000556,0.014011
4,4,0.000338,0.053941
4,6,0.001768,0.053941
5,4,0.000819,0.163329
5,6,0.005398,0.163329
6,4,0.001201,0.460771
6,6,0.010533,0.460771
7,4,0.002420,1.121413
7,6,0.019877,1.121413
8,4,0.003587,2.515958
8,6,0.034214,2.515958
9,4,0.004897,4.956654
9,6,0.057795,4.956654
10,4,0.006852,9.030507
10,6,0.083472,9.030507
11,4,0.008698,15.912768
11,6,0.120848,15.912768
12,4,0.011830,28.078830
12,6,0.181055,28.078830
13,4,0.015119,49.831937
13,6,0.274143,49.831937
14,4,0.020358,76.254136
14,6,0.368337,76.254136
15,4,0.025941,124.321728
15,6,0.526586,124.321728
